date,close,ipo_return,nifty_return
2024-01-01,102,,0.0013837638376383854
2024-01-02,104,0.019607843137254832,0.0006909258406264662
2024-01-03,103,-0.009615384615384581,-0.0004602991944764323
2024-01-04,105,0.01941747572815533,0.0015196868524061102
2024-01-05,108,0.02857142857142847,0.0011035497517013493
2024-01-08,110,0.0185185185185186,0.001695847465395639
2024-01-09,113,0.027272727272727337,0.00123541523678794
2024-01-10,111,-0.017699115044247815,-0.0010053925600950198
2024-01-11,115,0.03603603603603611,0.0014638609332113806
2024-01-12,118,0.026086956521739202,0.0012790060295999606
